repair_id,stock_code,category,supplier,fault_reported,date_logged,cost_gbp,requires_approval,approval_status,approved_by,days_out_of_service
REP-3000,AS&-01951,"Accommodation, Storage & Welfare",Vp Plant Repairs,Wear & tear service,2025-09-18,3240.05,True,Rejected,National Ops & Systems Manager,5
REP-3001,S&W-02282,Sanding & Woodworking,Southern Access Engineering,Structural damage,2026-05-06,120.07,False,Not Required,,21
REP-3002,C&G-02176,Cutting & Grinding,National Plant Repair Co,Wear & tear service,2025-11-18,2927.46,True,Pending,National Ops & Systems Manager,17
REP-3003,MH&-01606,Material Handling & Logistics,Vp Plant Repairs,Safety recall check,2026-01-11,2610.42,True,Pending,National Ops & Systems Manager,6
REP-3004,C&C-02516,Concreting & Compaction,Speedy Fleet Services,Structural damage,2026-04-11,2842.01,True,Pending,National Ops & Systems Manager,1
REP-3005,C&C-02493,Concreting & Compaction,Speedy Fleet Services,Battery/charging fault,2026-07-06,3479.13,True,Approved,National Ops & Systems Manager,6
REP-3006,LE-01796,Lifting Equipment,Speedy Fleet Services,Tyre/track replacement,2025-11-26,838.38,True,Approved,National Ops & Systems Manager,5
REP-3007,LE-01881,Lifting Equipment,Vp Plant Repairs,Wear & tear service,2026-05-30,207.28,False,Not Required,,20
REP-3008,B&D-01354,Breakers & Drills,AFI Technical,Engine fault,2026-01-01,3352.89,True,Approved,National Ops & Systems Manager,6
REP-3009,C&G-02139,Cutting & Grinding,Southern Access Engineering,Tyre/track replacement,2026-03-09,3098.95,True,Approved,National Ops & Systems Manager,15
REP-3010,M&E-02323,Mechanical & Electrical,National Plant Repair Co,Tyre/track replacement,2026-03-27,3575.47,True,Rejected,National Ops & Systems Manager,4
REP-3011,SV&-02417,"Safety, Ventilation & Extraction",National Plant Repair Co,Structural damage,2025-12-01,3782.83,True,Pending,National Ops & Systems Manager,18
REP-3012,MH&-01654,Material Handling & Logistics,Vp Plant Repairs,Battery/charging fault,2026-04-30,197.31,False,Not Required,,14
REP-3013,C&G-02154,Cutting & Grinding,National Plant Repair Co,Wear & tear service,2026-05-14,1822.16,True,Approved,National Ops & Systems Manager,13
REP-3014,C&G-02117,Cutting & Grinding,AFI Technical,Structural damage,2026-04-24,374.48,False,Not Required,,4
REP-3015,B&D-01456,Breakers & Drills,Independent Hydraulics Ltd,Hydraulic leak,2026-03-15,2257.82,True,Approved,National Ops & Systems Manager,21
REP-3016,MH&-01594,Material Handling & Logistics,Speedy Fleet Services,Safety recall check,2025-11-03,1682.68,True,Pending,National Ops & Systems Manager,4
REP-3017,PA-01093,Powered Access,Southern Access Engineering,Electrical fault,2026-03-29,2954.45,True,Rejected,National Ops & Systems Manager,6
REP-3018,B&D-01265,Breakers & Drills,Speedy Fleet Services,Hydraulic leak,2026-03-07,2730.02,True,Approved,National Ops & Systems Manager,18
REP-3019,MH&-01493,Material Handling & Logistics,National Plant Repair Co,Safety recall check,2026-02-07,4123.36,True,Pending,National Ops & Systems Manager,3
REP-3020,B&D-01426,Breakers & Drills,Vp Plant Repairs,Tyre/track replacement,2025-11-15,1484.91,True,Rejected,National Ops & Systems Manager,14
REP-3021,P&E-02597,Power & Electrics,National Plant Repair Co,Electrical fault,2026-04-12,1828.31,True,Approved,National Ops & Systems Manager,16
REP-3022,LE-01877,Lifting Equipment,AFI Technical,Electrical fault,2026-07-12,554.94,True,Approved,National Ops & Systems Manager,13
REP-3023,F&B-02458,Fencing & Barriers,Speedy Fleet Services,Battery/charging fault,2026-06-11,4022.14,True,Approved,National Ops & Systems Manager,5
REP-3024,PA-01074,Powered Access,Vp Plant Repairs,Battery/charging fault,2026-01-26,1803.09,True,Approved,National Ops & Systems Manager,7
REP-3025,AS&-01963,"Accommodation, Storage & Welfare",Speedy Fleet Services,Wear & tear service,2025-11-14,723.72,True,Rejected,National Ops & Systems Manager,21
REP-3026,AS&-01910,"Accommodation, Storage & Welfare",Independent Hydraulics Ltd,Tyre/track replacement,2026-04-30,1744.38,True,Pending,National Ops & Systems Manager,4
REP-3027,S&L-02548,Survey & Location,Southern Access Engineering,Wear & tear service,2025-11-11,1162.51,True,Approved,National Ops & Systems Manager,7
REP-3028,B&D-01297,Breakers & Drills,National Plant Repair Co,Engine fault,2025-09-23,2808.39,True,Approved,National Ops & Systems Manager,13
REP-3029,LE-01785,Lifting Equipment,Southern Access Engineering,Structural damage,2026-03-17,1771.26,True,Approved,National Ops & Systems Manager,14
REP-3030,MH&-01511,Material Handling & Logistics,National Plant Repair Co,Wear & tear service,2026-06-21,4084.45,True,Rejected,National Ops & Systems Manager,2
REP-3031,C-02232,Cleaning,National Plant Repair Co,Structural damage,2025-12-07,1936.41,True,Approved,National Ops & Systems Manager,4
REP-3032,AS&-01984,"Accommodation, Storage & Welfare",Speedy Fleet Services,Safety recall check,2026-02-19,4021.44,True,Pending,National Ops & Systems Manager,9
REP-3033,MH&-01488,Material Handling & Logistics,Southern Access Engineering,Wear & tear service,2025-10-21,2573.67,True,Rejected,National Ops & Systems Manager,17
REP-3034,LE-01807,Lifting Equipment,National Plant Repair Co,Battery/charging fault,2025-12-24,2378.77,True,Approved,National Ops & Systems Manager,2
REP-3035,S&L-02538,Survey & Location,Speedy Fleet Services,Battery/charging fault,2025-12-21,4152.36,True,Approved,National Ops & Systems Manager,21
REP-3036,LE-01710,Lifting Equipment,Speedy Fleet Services,Wear & tear service,2026-04-04,2339.95,True,Approved,National Ops & Systems Manager,8
REP-3037,P&S-02423,Propping & Support,National Plant Repair Co,Structural damage,2025-11-24,286.14,False,Not Required,,16
REP-3038,C&G-02097,Cutting & Grinding,Independent Hydraulics Ltd,Safety recall check,2025-09-22,1734.89,True,Pending,National Ops & Systems Manager,12
REP-3039,B&D-01367,Breakers & Drills,Speedy Fleet Services,Safety recall check,2026-06-25,1480.34,True,Pending,National Ops & Systems Manager,20
REP-3040,SV&-02400,"Safety, Ventilation & Extraction",National Plant Repair Co,Tyre/track replacement,2025-12-27,1721.89,True,Approved,National Ops & Systems Manager,6
REP-3041,B&D-01397,Breakers & Drills,Independent Hydraulics Ltd,Structural damage,2026-07-09,2513.25,True,Approved,National Ops & Systems Manager,10
REP-3042,C&G-02013,Cutting & Grinding,Vp Plant Repairs,Safety recall check,2025-11-10,3623.52,True,Pending,National Ops & Systems Manager,1
REP-3043,S&W-02298,Sanding & Woodworking,National Plant Repair Co,Hydraulic leak,2026-01-06,1111.09,True,Approved,National Ops & Systems Manager,8
REP-3044,CC-02391,Climate Control,Southern Access Engineering,Hydraulic leak,2025-10-26,3398.48,True,Approved,National Ops & Systems Manager,2
